,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,nutrient_score
0,시작,B으깬견과류고구마샐러드(요거트),S우유(200ml),B청포도(100g),S복숭아(60g),S사과(35g),고구마밥(63),동태살무국,소고기동그랑땡전,얼갈이나물,배추김치,S크림빵,S우유(200ml),고구마밥(63),오징어숙주국,참치어묵조림,감자당근채볶음,나박김치,종료,12
1,시작,B새우채소죽,B(우유제외)두유미숫가루,B과일샐러드(요거트드레싱),S사과(35g),S멜론(50g),수수밥(63),동태살무국,새우살채소깨무침,도라지나물(간장),나박김치,S카스텔라,S보리차,충무김밥+반찬,매콤콩나물국,시금치두부전,배추게맛살샐러드,배추김치,종료,15
2,시작,B안매운김치볶음밥,B두유(150ml),B블루베리(50g),S(우유제외)과일화채,S복숭아(황도)-60g,감자수제비,Empty,옥수수치즈전,양배추샐러드(레몬드레싱),배추김치,S연두부,S보리차,찰현미밥(63),두부새우젓국,삼치무찜,동초무침,파김치,종료,15
3,시작,B단팥도너츠,B고구마쉐이크,B참외(50g),S복숭아(천도)-60g,S멜론(50g),팥밥(55),실파장국,온두부찜,브로콜리무침,배추김치,S멸치주먹밥,S둥글레차,팥밥(55),팽이장국,감자부추전,건새우애호박볶음,나박김치,종료,13
4,시작,B치즈꼬마김밥,B바나나쉐이크,B멜론(50g),S사과(35g),S복숭아(60g),찹쌀밥(40),차돌얼갈이국,탕평채무침,건파래자반,단배추물김치,S찐빵,S보리차,찹쌀밥(40),닭고기채소찌개,소면채소무침,해초볶음,열무물김치,종료,14
5,시작,B버섯장국죽,B(우유제외)수제바나나두유,B단감(50g),S사과(35g),S참외(50g),김치치즈볶음밥,실파장국,닭봉구이,수제비샐러드,오이소박이김치,S멸치주먹밥,S보리차,고구마밥(63),팽이장국,주꾸미채소간장볶음,건새우애호박볶음,배추김치,종료,13
6,시작,B으깬견과류고구마샐러드(요거트),B검은깨두유(100ml),B참외(50g),S푸실리샐러드,S블루베리고구마샐러드,오징어덮밥,근대국,오리훈제구이,맛살양상추샐러드,열무물김치,S크림빵,S둥글레차,완두콩밥(55),해물탕,등심탕수육+소스,건취나물간장볶음,나박김치,종료,14
7,시작,B증편,B떠먹는요구르트(100ml),B복숭아(천도)-60g,S멜론(50g),S참외(50g),감자밥(63),팽이장국,삼겹살구이,상추쌈,배추김치,S새우크림소스볶음,S보리차,감자밥(63),매콤애호박국,오리훈제구이,진미채초무침,깍두기,종료,12
8,시작,B주먹밥,B(우유제외)수제블루베리우유,B청포도(100g),S멜론(50g),S참외(50g),검정콩밥(63),건홍합다시마맑은국,안매운오삼불고기,당근스틱,비트초절이,S호박죽,S둥글레차,흑미밥(55),대파감자국,소고기채소조림,청포묵숙주김무침,단무지,종료,13
9,시작,B고구마스프,B두유(100ml),B방울토마토(70g),S참외(100g),S복숭아(황도)-60g,흑미밥(55),호박양파국,소고기짜장볶음,양상추샐러드(오리엔탈드레싱),배추김치,S노란시루떡,S검은깨두유(100ml),흑미밥(55),가자미미역국,삼치무조림,감자채파프리카볶음,열무김치,종료,15
10,시작,B양파치즈스프,B두유(100ml),B파인애플(50g),S블루베리(50g),S복숭아(황도)-80g,찹쌀현미밥(55),애호박새우젓국,삼치무조림,감자채소볶음,단배추물김치,S절편(40g),S우유(200ml),찹쌀현미밥(55),어묵감자국,훈제오리양파볶음,사과치커리무침,열무김치,종료,14
11,시작,B치즈게살죽,B두유(100ml),B복숭아(백도)-80g,S토마토(200g),S자두(50g),옥수수밥(55),애호박두부젓국,닭고기우유조림,무미역생채,비트초절이,S(우유제외)옥수수버터구이,S보리차,옥수수밥(55),동태살무국,소면채소무침,진미채초무침,배추김치,종료,13
12,시작,B단호박크림스프,B검은깨두유(100ml),B복숭아(황도)-80g,S블루베리(50g),S푸실리샐러드,쌀밥(40),다진소고기콩나물국,가자미조림,파래자반,비트초절이,S쌀과자,S검은깨두유(150ml),소고기주먹밥,미니우동,오리훈제구이,채소샐러드(발사믹드레싱),총각김치,종료,15
13,시작,B감자우유죽,B(우유제외)고구마쉐이크,B복숭아(백도)-80g,S아몬드,S블루베리(50g),찰현미밥(55),실파맑은국,어묵볶음,브로콜리참깨무침,나박김치,S쑥설기(40g),S고칼슘우유(100ml),찰현미밥(55),낙지연포탕,숙주맛살나물,명엽채볶음,비트초절이,종료,13
14,시작,B찐빵,B두유(100ml),B멜론(50g),S자두(50g),S사과(35g),수수밥(55),콩가루얼갈이배추국,소고기토마토조림,미역줄기채소볶음,석박지,S절편(40g),S둥글레차,수수밥(55),실파장국,새우살크림소스볶음,동초무침,깍두기,종료,15
15,시작,B감자죽,B우유(100ml),B사과(50g),S복숭아(천도)-80g,S아몬드,팥밥(55),부추된장국,닭가슴살구이+소스,진미채초무침,비트초절이,S(우유제외)버터감자구이,S떠먹는요구르트(100ml),팥밥(55),어묵감자국,임연수엿장구이,마늘종잡채,단무지무침,종료,15
16,시작,B으깬견과류고구마샐러드(요거트),B(우유제외)바나나쉐이크,B복숭아(60g),S사과(35g),S멜론(50g),미나리불고기덮밥,실파장국,오징어간장조림,애호박볶음,열무물김치,S(우유제외)토마토스파게티,S보리차,찹쌀팥밥(55),해물탕,매콤낙지채소볶음,건새우애호박볶음,나박김치,종료,11
17,시작,B감자죽,S둥글레차,B멜론(50g),S사과(35g),S과일화채,검정콩밥(55),다슬기된장국,애호박생선살찜,건취나물간장볶음,비트초절이,S크로와상,S우유(200ml),검정콩밥(55),얼갈이맑은국,매콤오징어볶음,무미역생채,총각김치,종료,14
18,시작,B감자죽,B검은깨두유(200ml),B당근스틱,S사과(35g),S참외(100g),옥수수밥(55),쑥갓어묵탕,숙주맛살무침,새싹채소샐러드,열무김치,S삶은달걀(30g),S우유(200ml),옥수수밥(55),실파장국,오리훈제구이,매콤숙주미나리무침,단무지,종료,12
19,시작,B(우유제외)단호박스프,B(우유제외)바나나쉐이크,B참외(50g),S복숭아(60g),S자두(50g),잡곡밥(55),얼갈이맑은국,매콤오징어볶음,더덕사과무침,나박김치,S약과,S둥글레차,잡곡밥(55),콩가루얼갈이배추국,두부톳무침,매쉬드포테이토,비트초절이,종료,15
20,시작,B(우유제외)단호박스프,B(우유제외)바나나쉐이크,B참외(50g),S사과(35g),S멜론(100g),옥수수밥(63),얼갈이된장국,오징어불고기,건취나물간장볶음,열무물김치,S으깬견과류고구마샐러드(요거트),S보리차,옥수수밥(63),동태맑은국,두부쑥갓무침,감자당근채볶음,단배추물김치,종료,15
