,name,weight,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Retinol,¥â-Carotene,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,VitaminD,Linoleic Acid,Alpha-Linolenic Acid,breakfast1,breakfast2,breakfast3,snack1,snack2,snack3,snack4,rice,special,soup,kimchi,special_soup_needed,special_soup_notneeded,vegitable_soup,nonvegitable_soup,possible_with_special,morning_soup_comb1,morning_soup_comb2,morning_soup_comb3,side_dish1,side_dish2,empty,rice_type1,rice_type2,rice_type3,rice_type4,rice_type5,rice_type6,rice_type7,rice_type8,rice_type9,rice_type10,rice_type11,rice_type12,rice_type13,rice_type14,rice_type15,rice_type16,rice_type17,rice_type18,rice_type19,rice_type20,rice_type21,rice_type22,rice_type23,rice_type24,¹Ð,½Ò,¸Þ¹Ð,°¨ÀÚ,´ëµÎ,¶¥Äá,È£µÎ,Àã,¹ã,¾Æ¸óµå,ÇìÁñ³Ó,Ä³½´³Ó,ÇÇÄ­,ÇÇ½ºÅ¸Ä¡¿À,µé±ú,Âü±ú,¾¾¾Ñ,µÅÁö,¿À¸®,´ß,±âÅ¸°¡±Ý·ù,¼Ò,³­·ù,¿ìÀ¯,ºÓÀº»ì»ý¼±,Èò»ì»ý¼±,±âÅ¸,Àå¾î,¸êÄ¡,°Ô,»õ¿ì,°¡Àç,"Á¶°³,²¿¸·",±¼,"È«ÇÕ,´ãÄ¡",¿ÀÂ¡¾î,¹®¾î,³«Áö,°íµÕ,¼Ò¶ó,Àüº¹,¿ÀÀÌ,¸¶´Ã,»ø·¯¸®,´ç±Ù,ºê·ÎÄÝ¸®,¾çÆÄ,°ÜÀÚ,ÈÄÃß,Åä¸¶Åä,Ã¼¸®,ÀÚµÎ,Å°À§,¹Ù³ª³ª,»ç°ú,¹è,ÄÚÄÚ³Ó,º¹¼þ¾Æ,¸Þ·Ð,¼ö¹Ú,½ÃÆ®·¯½º,¸Á°í,¾ÆÈ²»ê·ù,¿¬Áß,1¿ù,2¿ù,3¿ù,4¿ù,5¿ù,6¿ù,7¿ù,8¿ù,9¿ù,10¿ù,11¿ù,12¿ù
0,BÂð°í±¸¸¶(70g),70,118.3,0.749,0.105,28.644,2.94,11.9,0.294,4.9,0,25.9,2.158333333,0.042,0.0175,10.752,0,49.623,7.154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,B±º°í±¸¸¶(70g),70,132.3,0.707,0.112,32.172,3.29,11.9,0.392,7,0,27.3,2.275,0.0525,0.0259,4.508,0,51.891,7.637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,B»îÀº°í±¸¸¶(70g),70,118.3,0.749,0.105,28.644,2.94,11.9,0.294,4.9,0,25.9,2.158333333,0.042,0.0175,10.752,0,49.623,7.154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,BÂð°¨ÀÚ(140g),140,112,2.954,0.126,25.438,2.24,14,0.672,2.8,0,12.6,1.05,0.049,0.0224,16.744,0,62.636,14.938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,B»îÀº°¨ÀÚ(140g),140,107.8,2.898,0.112,24.346,2.24,11.2,0.91,1.4,0,11.2,0.933333333,0.056,0.0308,13.888,0,52.584,12.124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,BÂð¿Á¼ö¼ö(70g),70,98,2.954,0.994,20.195,3.08,4.2,0.63,1.4,0,5.6,0.466666667,0.0931,0.1155,1.918,0,478.919,19.313,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
6,BÂð»§(40g),40,85.2,2.384,0.516,17.744,2.04,8.8,0.372,63.2,0,2,0.166666667,0.006,0.018,0,0,141.044,19.892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,B¹«Áö°³¶±(75g),75,171.75,2.625,0.225,39.75,0.15,7.5,1.05,207.75,0,9.75,0.8125,0.03,0.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,B¹ã¼³±â(75g),75,174.35,2.9215,0.388,38.0815,0.865,5.5,0.084,137.9,0,2.9,0.241666667,0.05955,0.0299,1.6435,0,119.9935,9.1055,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,B¹é¼³±â(75g),75,183.75,2.9925,0.39,40.0875,0.375,4.5,0,159,0,0,0,0.05925,0.027,0.0525,0,113.1975,3.5025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
