1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
밤찹쌀팥밥(63),동태살무국,건파래자반,S복숭아(천도)-60g,S복숭아(60g),크림리조또,우동국물,조랭이떡소불고기,감자당근채볶음,깻잎김치,S(우유제외)알리오올리오스파게티,S고칼슘우유(200ml),밤찹쌀팥밥(63),두부새우젓국,생선까스,미역줄기채소볶음,나박김치
밤밥(63),동태살국,치즈스크램블에그,S사과(35g),B오렌지(100g),밤밥(63),떡국,온두부찜,애호박건새우볶음,나박김치,S(우유제외)토마토스파게티,S오미자아이스크림,밤밥(63),매콤애호박국,소고기전,감자어묵볶음,석박지
완두콩밥(63),두부새우젓국,마카로니채소샐러드(토마토소스),S복숭아(80g),S복숭아(천도)-80g,오징어채소덮밥,유부쑥갓맑은국,떡갈비간장조림,감자당근채볶음,배추김치,S단팥빵,S고칼슘우유(200ml),완두콩밥(63),동태살무국,치즈돈까스,채소샐러드,비트초절이
차조밥(55),닭고기채소찌개,어묵고구마조림,S복숭아(60g),S복숭아(황도)-80g,차조밥(55),매콤애호박국,어묵고구마조림,애호박볶음,나박김치,S약과,S고칼슘우유(200ml),새우크림스파게티,실파장국,브로콜리두부무침,감자당근채볶음,깍두기
팥밥(55),새우살시금치국,애호박새우젓볶음,S복숭아(천도)-60g,S복숭아(60g),팥밥(63),팽이장국,돼지고기강정+소스,가지무침,열무물김치,S치즈스틱,B수제딸기우유,팥밥(63),새우젓국찌개,채소전,땅콩우엉무침,비트초절이
찹쌀밥(63),팽이장국,미역줄기채소볶음,S사과(35g),S멜론(50g),찹쌀밥(63),근대국,소고기토마토조림,동초무침,나박김치,S(우유제외)알리오올리오스파게티,S고칼슘우유(200ml),찹쌀밥(63),두부새우젓국,조랭이떡소불고기,감자당근채볶음,석박지
밤찹쌀팥밥(55),북어김치국,파프리카무침,S블루베리(50g),S참외(50g),밤찹쌀팥밥(55),차돌얼갈이국,돼지고기부추잡채,감자당근채볶음,깻잎김치,S(우유제외)알리오올리오스파게티,S우유(200ml),소고기채소볶음밥,늙은호박국,씻은김치전,건취나물간장볶음,단배추물김치
검정콩밥(63),동태살무국,도라지나물(간장),S복숭아(천도)-60g,S파인애플(50g),해물우동볶음,맑은가쓰오부시장국,오리훈제구이,청경채볶음,백김치,S으깬견과류고구마샐러드(요거트),S오미자아이스크림,검정콩밥(63),쑥국,라조기,편마늘멸치볶음,비트초절이
검정콩밥(55),닭고기채소찌개,매콤숙주미나리무침,S복숭아(60g),S사과(100g),검정콩밥(55),순한김치두부국,오리훈제구이,견과류시금치무침,석박지,S간장떡볶이,S우유(200ml),새우크림스파게티,매콤애호박국,모듬버섯탕수,미역줄기채소볶음,깍두기
우엉채소볶음밥,쑥갓어묵탕,애호박볶음,S복숭아(천도)-60g,S멜론(50g),고구마밥(55),소고기떡국,닭고기냉채,건새우애호박볶음,나박김치,S맘모스빵,S고칼슘우유(100ml),고구마밥(55),삼계탕,소고기완자전,감자당근채볶음,얼갈이배추김치
찰현미밥(55),(소고기제외)당면양배추국,게맛살파프리카볶음,S블루베리고구마샐러드,S포도(100g),찰현미밥(55),콩나물어묵탕,미역귀튀각,브로콜리초무침,배추김치,S크로와상,S떠먹는요구르트(100ml),찰현미밥(55),애탕국,깻잎달걀말이,치커리배무침,동치미
율무밥(55),두부새우젓국,애호박건새우볶음,S사과(50g),S복숭아(황도)-80g,율무밥(55),멸치장국,어묵감자조림,단호박우유찜,나박김치,S냉콩국+소면,S(우유제외)수제블루베리우유,오징어채소덮밥,닭고기채소찌개,소고기토마토조림,가지양념무침,석박지
