1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
B으깬견과류고구마샐러드(요거트),B(우유제외)고구마쉐이크,B토마토(100g),S복숭아(황도)-80g,S멜론(50g),찹쌀현미밥(63),콩가루얼갈이배추국,삼치무조림,매콤숙주미나리무침,배추김치,S고로케,S오미자아이스크림,찹쌀현미밥(63),닭고기채소찌개,오징어볶음+소면,애호박건새우볶음,배추김치
B옥수수치즈스프,B(우유제외)수제바나나두유,B복숭아(황도)-60g,S멜론(100g),S자두(50g),소고기하이라이스,얼갈이배추국,고구마연근맛탕,매콤숙주미나리무침,배추김치,S으깬견과류고구마샐러드(요거트),S둥글레차,완두콩밥(63),동태살무국,옥수수채소튀김,애호박건새우볶음,배추김치
B양배추죽,B우유미숫가루,B복숭아(80g),S포도(100g),S귤(50g),찹쌀밥(55),매생이국,(우유제외)닭가슴살버터구이,모듬채소,깍두기,S단호박샐러드(마요네즈),S검은깨두유(200ml),찹쌀밥(55),백짬뽕국,탕평채무침,건새우볶음,석박지
B냉콩국+소면,B두유(100ml),B자두(50g),S복숭아(백도)-80g,S멜론(100g),밤찹쌀팥밥(63),소고기떡국,두부채소굴소스볶음,매콤숙주미나리무침,배추김치,S단호박샐러드,S둥글레차,밤찹쌀팥밥(63),쑥갓어묵탕,소고기마늘종볶음,배추게맛살샐러드,배추김치
B소고기미역죽,B고구마쉐이크,B사과(75g),S오이스틱,S복숭아(천도)-80g,율무밥(55),애호박맑은국,북어채소찜,건새우애호박볶음,비트초절이,S크로와상,S보리차,율무밥(55),맑은바지락탕,소고기양배추조림,깻잎나물,배추김치
B감자채소죽,B(우유제외)수제바나나두유,B사과(75g),S복숭아(천도)-60g,S멜론(50g),팥밥(55),버섯개장,두부채소굴소스볶음,얼갈이나물,나박김치,S크림떡볶이,S코코아,팥밥(55),온청포묵국,순살닭강정,얼갈이무침,배추김치
B크로와상,B요구르트,B당근스틱,S수박화채,B당근스틱,보리밥(55),애호박두부젓국,오징어채소볶음,해초볶음,단배추물김치,S찐고구마,S보리차,보리밥(55),다시마무채국,시금치나물,치즈닭갈비,단배추물김치
B치즈누룽지죽,B두유(100ml),B참외(50g),S포도(100g),S멜론(100g),찹쌀보리밥(55),버섯개장,칠리새우,해초볶음,나박김치,S으깬견과류고구마샐러드(요거트),S오미자아이스크림,찹쌀보리밥(63),팽이장국,닭고기냉채,양배추마요무침,콜라비나박김치
B우엉채소볶음밥,B두유(100ml),B복숭아(80g),S사과(35g),S멜론(50g),찹쌀밥(40),닭고기채소찌개,어묵감자조림,동초무침,배추김치,S도너츠,S코코아,찹쌀밥(55),두부찌개,소고기메란조림,매콤숙주미나리무침,배추김치
B새우크림소스볶음,B복숭아호두스무디,B멜론(50g),S사과(75g),S복숭아(60g),현미밥(63),실파장국,닭살간장조림,감자당근채볶음,배추김치,S절편,S미숫가루,현미밥(63),온도토리묵국,소고기브로콜리조림,해초볶음,석박지
B시금치견과류주먹밥,B복숭아호두스무디,B배(50g),S참외(50g),S멜론(50g),검정콩밥(55),닭고기채소찌개,오리훈제구이,미역줄기당근볶음,열무물김치,S(우유제외)웨지감자구이,S떠먹는요구르트(100ml),검정콩밥(63),온도토리묵국,닭살카레조림,참치양파볶음,나박김치
B채소전,B고구마쉐이크,B사과(75g),S블루베리고구마샐러드,S복숭아(천도)-80g,찹쌀보리밥(55),유부쑥갓맑은국,치즈닭갈비,치즈감자조림,비트초절이,S크림떡볶이,S보리차,찹쌀보리밥(55),동태살무국,라조기,땅콩우엉무침,배추김치
B고구마스프,B(우유제외)수제바나나두유,B블루베리고구마샐러드,S복숭아(60g),S사과(35g),검정콩밥(55),콩가루얼갈이배추국,소고기브로콜리조림,호박고지나물,단배추물김치,S약과,S보리차,김치햄볶음밥,해물탕,단호박튀김,진미채초무침,단배추물김치
B브로콜리스프,B우유(100ml),B수박(100g),S사과(100g),S포도(100g),쌀밥(63),양배추맑은국,토마토소스닭조림,파래자반,단배추물김치,S짜장떡볶이,S(우유제외)호두두유,쌀밥(63),방아잎된장국,두부버섯완자전,실곤약채소무침,열무김치
B옥수수크림스프,B참깨우유스프,B블루베리고구마샐러드,S참외(50g),S멜론(50g),잡곡밥(55),실파장국,애호박생선살찜,진미채초무침,배추김치,S쿠키,S쌀음료,잡곡밥(55),해물탕,새우깐풍기,호박고지나물,배추김치
B꿀떡,B(우유제외)수제바나나두유,B참외(50g),S복숭아(천도)-60g,S멜론(50g),찰현미밥(63),얼갈이맑은국,떡갈비간장조림,건새우애호박볶음,열무물김치,S크림떡볶이,S오미자아이스크림,찰현미밥(63),콩가루얼갈이배추국,주꾸미채소볶음,과일샐러드(요거트드레싱),배추김치
B밤설기(40g),B호두우유,B참외(50g),S복숭아(황도)-60g,S키위(50g),감자밥(63),쑥국,삼겹살구이,땅콩우엉무침,석박지,S크림떡볶이,S쌀음료,감자밥(63),모듬버섯찌개,채소옥수수튀김,감자당근채볶음,깍두기
B치즈스틱,B(우유제외)수제바나나두유,B멜론(50g),S사과(100g),S참외(50g),옥수수밥(63),떡국,소고기브로콜리조림,진미채채소무침,배추김치,S단호박죽,S매실쥬스,옥수수밥(63),해물탕,으깬두부채소전,매쉬드포테이토,나박김치
B당근죽,B두유(100ml),B사과(100g),S블루베리(50g),S참외(50g),밤찹쌀팥밥(63),실파장국,옥수수채소튀김,미역줄기채소볶음,석박지,S카카오올리브케익,S보리차,김치스팸치즈볶음밥,대구지리,닭채볶음,동초무침,석박지
B새우치즈죽,B고구마쉐이크,B멜론(50g),S사과(35g),S오렌지(50g),잡곡밥(63),실파장국,닭채볶음,참치양파볶음,비트초절이,S쿠키,S우유미숫가루,잡곡밥(63),황태미역국,소고기채소조림,(우유제외)사과오렌지샐러드(마요네즈),백김치
B흰죽,B고구마쉐이크,B참외샐러드,S블루베리고구마샐러드,S멜론퓨레,기장밥(63),소고기양배추국,두부톳무침,치커리무침,단무지,S개피떡(40g),S검은깨두유(150ml),기장밥(55),얼갈이배추국,고추장소고기볶음,미니새송이버섯볶음,나박김치
B증편,B토마토쉐이크,B참외(100g),S복숭아(천도)-80g,S멜론(50g),검정콩밥(55),건새우된장국,으깬두부채소전,아몬드잔멸치볶음,나박김치,S매실젤리,S오미자아이스크림,검정콩밥(63),닭고기채소찌개,오리훈제구이,감자당근채볶음,석박지
B(우유제외)새우크림소스볶음,B고구마쉐이크,B바나나(100g),S멜론(50g),S복숭아(황도)-60g,완두콩밥(63),팽이장국,으깬두부채소전,애호박건새우볶음,나박김치,S절편,S오미자아이스크림,완두콩밥(63),실파장국,오징어청경채볶음,건파래자반,콜라비나박김치
