1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
쌀밥(40),닭고기채소찌개,채소샐러드,S복숭아(황도)-80g,S당근스틱,쌀밥(40),북어달걀국,새우살조림,감자당근채볶음,총각김치,S찐고구마,S고구마쉐이크,쌀밥(40),콩가루얼갈이배추국,삼겹살구이,건새우애호박볶음,총각김치
찰현미밥(55),안매운닭개장,감자채볶음,S멜론(50g),S복숭아(황도)-80g,찰현미밥(63),감자된장국,고구마연근맛탕,애호박건새우볶음,단배추물김치,S단팥빵,S오미자아이스크림,찰현미밥(55),동태살국,매콤주꾸미볶음,감자그라탕,단배추물김치
수수밥(63),완자탕,고구마줄기볶음,S오이당근스틱,S복숭아(60g),수수밥(63),(저염)닭곰탕,참치어묵조림,곤드레나물볶음,배추김치,S치즈,S미숫가루,수수밥(63),건새우된장국,소고기토마토조림,도라지나물,배추김치
밤찹쌀팥밥(55),떡국,새우까스,S복숭아(60g),S당근스틱,밤찹쌀팥밥(55),동태살국,고구마연근맛탕,과일샐러드(요거트드레싱),단배추물김치,S새우크림소스볶음,S쌀음료,밤찹쌀팥밥(55),북어김치국,매콤주꾸미볶음,애호박건새우볶음,열무물김치
밤밥(55),미니우동,감자그라탕,S사과(35g),S복숭아(천도)-60g,밤밥(63),동태살국,새우살조림,가지무침,단배추물김치,S(우유제외)토마토스파게티,S보리차,밤밥(63),(저염)닭곰탕,으깬두부채소전,애호박건새우볶음,단배추물김치
현미밥(63),동태살무국,진미채초무침,S복숭아(황도)-80g,S청포도(100g),현미밥(63),양파오징어국,오징어불고기,소고기우엉조림,열무물김치,S치즈,S코코아,현미밥(63),유부쑥갓맑은국,닭고기냉채,가지무침,오이소박이김치
찹쌀밥(40),미역국,얼갈이나물,S사과(100g),S토마토(200g),시금치데리야끼볶음밥,실파장국,오징어찜,옥수수버터구이,비트초절이,S백설기,S우유(200ml),찹쌀밥(55),차돌얼갈이국,해물부추전,청포묵무침,단배추물김치
잡곡밥(63),유부쑥갓맑은국,사과미나리무침,S복숭아(천도)-60g,S복숭아(60g),잡곡밥(55),매콤애호박국,으깬두부채소전,감자그라탕,열무물김치,S참치밥전,S두유(100ml),잡곡밥(63),애호박맑은국,오리훈제구이,과일샐러드(요거트드레싱),나박김치
완두콩밥(55),재첩국,진미채초무침,S복숭아(천도)-60g,S블루베리(50g),완두콩밥(55),아욱우렁된장국,삼치무조림,애호박건새우볶음,나박김치,S약과,S단호박식혜,완두콩밥(55),동태살국,떡갈비조림,땅콩우엉무침,배추김치
찹쌀팥밥(55),단호박무국,다시마북어볶음,S사과(50g),S사과(35g),찹쌀팥밥(63),우렁이된장국,오징어불고기,사과상추무침,배추김치,S(우유제외)토마토스파게티,S매실쥬스,알리오올리오스파게티,실파장국,매쉬드포테이토,새우튀김,오이피클
