1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
B애플파이,B(우유제외)수제바나나두유,B복숭아(황도)-60g,S수박화채,S복숭아(천도)-60g,완두콩밥(75),미역냉국,매콤오징어볶음,파래무채무침,단배추물김치,S쿠키,S보리차,완두콩밥(75),오징어찌개,(저당)닭갈비,건새우애호박볶음,비트초절이
B소고기미역죽,B고구마쉐이크,S사과(75g),S복숭아(천도)-80g,S복숭아(80g),팥밥(75),닭살시금치국,오리훈제구이,애호박볶음,단배추물김치,S크림소스스파게티,S둥글레차,팥밥(75),쑥갓어묵국,낙지해물찜,콩나물당근무침,오이소박이김치
B단호박크림스프,B바나나(100g),B사과(35g),S멜론(50g),S귤(50g),쌀밥(75),얼갈이배추국,주꾸미채소볶음,무조림,파김치,S증편(40g),S(우유제외)수제블루베리바나나우유,쌀밥(75),유부김치국,닭날개간장조림,양배추된장나물,단무지
B단호박구이,B두유(100ml),B(우유제외)블루베리고구마샐러드,S참외(100g),S사과(75g),찹쌀현미밥(75),연두부맑은국,오리훈제구이,동초무침,단배추물김치,S채소찐빵,S수제블루베리바나나우유,찹쌀현미밥(75),유부맑은국,삼치유자청구이,사과상추겉절이,동치미
B소고기미역죽,B(우유제외)수제바나나두유,B참외(50g),S복숭아(80g),S사과(35g),율무밥(75),다슬기아욱국,매콤주꾸미볶음,진미채초무침,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S보리차,율무밥(75),동태살무국,두부채소전,매쉬드포테이토,비트초절이
B소고기미역죽,B떠먹는요구르트(100ml),B멜론(50g),S토마토(100g),S토마토(100g),쌀밥(75),오징어숙주국,참치어묵조림,애호박볶음,콜라비나박김치,S채소전,S둥글레차,쌀밥(75),애호박맑은국,감자그라탕,무미역무침,파김치
B치즈주먹밥,B요구르트,B사과(35g),S복숭아(황도)-80g,S복숭아(황도)-80g,검정콩밥(75),당근황태국,삼겹살구이,머위나물,비트초절이,S송편(40g),S보리차,검정콩밥(75),강된장,시금치프리타타,숙주당근나물,단배추물김치
B소고기미역죽,B고구마쉐이크,B복숭아(천도)-60g,S수박(100g),S오렌지(50g),찰현미밥(75),동태맑은국,해물우동숙주볶음,미역귀튀각,열무물김치,S삶은달걀(30g),S둥글레차,찰현미밥(75),어묵탕,감자당근채볶음,뱅어포구이,나박김치
B소고기옥수수죽,B(우유제외)수제바나나두유,B멜론(75g),B사과(35g),S멜론(75g),기장밥(75),실파장국,칠리새우,매쉬드포테이토,단배추물김치,S크림소스스파게티,S보리차,기장밥(75),늙은호박국,주꾸미채소간장볶음,동초무침,총각김치
B냉콩국+소면,B과일샐러드,B복숭아(천도)-80g,S사과(50g),S멜론(75g),팥밥(75),팽이장국,매콤주꾸미볶음,무미역무침,오이소박이김치,S멸치주먹밥,S둥글레차,팥밥(75),동태살무국,두부채소전,진미채초무침,나박김치
B치즈주먹밥,B(우유제외)소고기스프,B사과(35g),S멜론(50g),S멜론(75g),옥수수밥(75),실파장국,떡갈비간장조림,애호박새우젓볶음,콜라비나박김치,S채소전,S보리차,옥수수밥(75),유부쑥갓맑은국,닭살연근조림,동초무침,파김치
B삶은달걀(30g),B두유(200ml),B사과(100g),S방울토마토(35g),S곶감,차조밥(75),오이냉국,다시마튀각,참나물볶음,나박김치,S크림떡볶이,S(우유제외)수제딸기두유,차조밥(75),아욱우렁된장국,(가공)만두튀김,찐당근스틱,비트초절이
B소고기미역죽,B(우유제외)수제바나나두유,B복숭아(황도)-60g,S사과(75g),S복숭아(80g),쌀밥(75),다슬기된장국,(저염)갈치조림,요거트과일샐러드,단배추물김치,S크림소스스파게티,S둥글레차,쌀밥(75),모듬어묵국,두부채소전,맛살볶음,파김치
B(우유제외)단호박크림스프,B고구마쉐이크,B파인애플(50g),S복숭아(황도)-80g,S멜론(50g),밤찹쌀팥밥(75),동태살애호박국,(저염)갈치조림,진미채초무침,오이소박이김치,S단호박샐러드(마요네즈),S코코아,밤찹쌀팥밥(75),콩나물맑은국,오리훈제구이,청포묵숙주김무침,나박김치
B으깬견과류고구마샐러드(요거트),B떠먹는요구르트(100ml),B멜론(100g),S복숭아(천도)-80g,S멜론(75g),기장밥(75),동태살무국,소시지케첩볶음,건새우애호박볶음,비트초절이,S채소전,S보리차,기장밥(75),오징어숙주국,해물우동숙주볶음,상추오이무침,파김치
B참깨스프,B고구마쉐이크,B참외(50g),S사과(35g),S멜론(50g),찰현미밥(75),팽이장국,뿌리채소맛탕,매쉬드포테이토,콜라비나박김치,S백설기,S둥글레차,찰현미밥(75),실파장국,매콤낙지채소볶음,감자당근채볶음,배추김치
B단호박구이,B복숭아호두스무디,B사과(100g),S멜론(75g),S사과(100g),찰현미밥(75),늙은호박국,삼겹살구이,봄동부추겉절이,나박김치,S크림소스스파게티,S보리차,찰현미밥(75),도토리묵냉국,햄구이,무미역생채,비트초절이
B캐슈넛참깨죽,B(우유제외)수제바나나두유,B토마토(100g),S복숭아(천도)-60g,S복숭아(황도)-80g,쌀밥(75),단호박김치국,메추리알어묵조림,참나물간장무침,단배추물김치,S흑임자떡,S매실쥬스,쌀밥(75),닭가슴살미역국,조기구이,동초무침,깻잎김치
B연두부샐러드(오리엔탈드레싱),B떠먹는요구르트(100ml),B블루베리고구마샐러드,S복숭아(황도)-60g,S(우유제외)과일화채,보리밥(75),달래맑은국,멸치땅콩볶음,무채무침,파프리카피클,S단팥도너츠,S우유(200ml),보리밥(75),다시마양파국,명란달걀찜,콘샐러드,나박김치
B잣죽,B고구마쉐이크,B사과(35g),B방울토마토(70g),S멜론(75g),잡곡밥(75),모듬어묵국,닭살고구마조림,해초볶음,비트초절이,S크림소스스파게티,S둥글레차,잡곡밥(75),실파장국,미역귀튀각,아욱나물무침,단배추물김치
B옥수수버터구이,B요구르트,B토마토(100g),S복숭아(80g),S복숭아(천도)-80g,완두콩밥(75),동태살무국,뿌리채소맛탕,참나물무침,나박김치,S멸치주먹밥,S수제블루베리바나나우유,완두콩밥(75),소고기버섯찌개,오징어청경채볶음,진미채초무침,배추김치
B양파치즈죽,B수제바나나우유,B멜론(50g),S토마토(100g),S멜론(75g),쌀밥(75),청국장국,닭가슴살고구마볶음,(저염)연근조림,총각김치,S채소전,S보리차,쌀밥(75),아욱토장국,삼치양념구이,땅콩조림,단배추물김치
B연두부샐러드(오리엔탈드레싱),B두유(100ml),B복숭아(황도)-60g,S참외(100g),S수박화채,흑미밥(75),오징어찌개,훈제오리단호박찜,곤드레나물볶음,비트초절이,S쿠키,S오렌지주스,흑미밥(75),호박고지들깨탕,닭날개조림,미역초무침,깻잎김치
