1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
감자밥(63),호박감자수제비국,애호박볶음,S복숭아(천도)-80g,S과일화채,감자밥(63),두부새우젓국,토마토치즈범벅,동초무침,파김치,S녹차밤양갱,S복숭아호두스무디,감자밥(55),유부쑥갓맑은국,삼치무조림,크래미채소볶음,오이소박이김치
완두콩밥(55),두부젓국찌개,무몰무침,S(우유제외)수박화채,S수박(100g),완두콩밥(55),소고기두부탕국,닭가슴살사과무침,으깬견과류고구마샐러드(요거트),단배추물김치,S녹차밤양갱,S미숫가루,완두콩밥(55),순한고추장찌개,골뱅이무침,양배추샐러드(참깨드레싱),비트초절이
흑미밥(55),애호박두부젓국찌개,무미역생채,S복숭아(60g),S멜론(50g),흑미밥(55),어묵국수,토마토카프레제,배추게맛살샐러드,나박김치,S(우유제외)토마토스파게티,S복숭아호두스무디,흑미밥(55),북어김치국,탕평채무침,청경채사과무침,석박지
옥수수밥(63),동태살국,미역줄기채소볶음,S복숭아(황도)-80g,S사과(35g),옥수수밥(63),미니우동,조랭이떡소불고기,애호박건새우볶음,단배추물김치,S(우유제외)알리오올리오스파게티,S보리차,옥수수밥(63),오징어찌개,으깬두부채소전,매쉬드포테이토,열무김치
쌀밥(63),닭고기채소찌개,얼갈이무침,S복숭아(천도)-60g,S멜론(50g),쌀밥(40),건새우시금치국,옥수수채소튀김,해초볶음,열무물김치,S가래떡구이,S오미자아이스크림,쌀밥(40),온청포묵국,고구마연근맛탕,부추사과무침,비트초절이
수수밥(55),오징어숙주국,동초무침,S복숭아(60g),S참외(50g),수수밥(55),떡국,조랭이떡소불고기,매쉬드포테이토,석박지,S(우유제외)토마토스파게티,S보리차,수수밥(55),콩가루얼갈이배추국,온두부찜,채소샐러드,열무김치
검정콩밥(55),늙은호박국,건파래자반,S복숭아(황도)-60g,S멜론(50g),검정콩밥(55),찹쌀옹심이국,새우살크림소스볶음,건취나물간장볶음,깻잎김치,S짜장떡볶이,S(우유제외)수제바나나두유,검정콩밥(55),동태맑은국,씻은김치전,실곤약간장채소무침,열무물김치
밤찹쌀팥밥(63),안매운닭개장,김구이,S참외(50g),S사과(35g),밤찹쌀팥밥(63),오징어찌개,고구마연근맛탕,매쉬드포테이토,비트초절이,S쑥떡(40g),S오미자아이스크림,밤찹쌀팥밥(63),건새우감자국,매콤주꾸미볶음,도토리묵무침,단배추물김치
차조밥(55),유부된장국,(우유제외)감자버터구이,S자두(50g),S포도(100g),차조밥(55),실파맑은국,오징어새우볶음,고구마순나물,배추김치,S고구마경단,S수제블루베리바나나우유,차조밥(55),유부대파국,소고기카레볶음,곰취나물볶음,백김치
잡곡밥(55),미니우동,미역줄기채소볶음,S복숭아(60g),S사과(35g),잡곡밥(55),쑥갓어묵탕,두부톳무침,파래무침,열무물김치,S모닝빵+딸기잼,S오미자아이스크림,잡곡밥(55),늙은호박국,옥수수채소튀김,매쉬드포테이토,단배추물김치
밤콩밥(55),차돌얼갈이국,건취나물간장볶음,S참외(50g),S멜론(50g),밤콩밥(55),떡국,매콤오징어볶음,아욱무침,갓김치,S(우유제외)알리오올리오스파게티,S코코아,밤콩밥(55),오징어찌개,오징어채소볶음,채소샐러드,비트초절이
보리밥(55),호박감자수제비국,매쉬드포테이토,S복숭아(60g),S참외(50g),보리밥(55),유부쑥갓맑은국,고구마연근맛탕,진미채초무침,오이소박이김치,S단팥빵,S오미자아이스크림,보리밥(55),동태살무국,새우살조림,사과미나리무침,배추김치
찹쌀현미밥(63),매콤애호박국,아욱무침,S사과(35g),S자두(50g),찹쌀현미밥(63),애호박맑은국,소고기토마토조림,애호박새우젓볶음,열무물김치,S쿠키,S고구마쉐이크,찹쌀현미밥(63),쑥갓어묵탕,닭가슴살버터구이,건새우애호박볶음,백김치
보리밥(55),동태살국,애호박볶음,S복숭아(황도)-80g,S참외(50g),보리밥(55),닭고기채소찌개,맛살꼬지전,애호박건새우볶음,갓김치,S찐고구마,S오미자아이스크림,보리밥(55),떡국,오징어새우볶음,실곤약간장채소무침,단배추물김치
차조밥(63),팽이장국,무미역생채,S사과(35g),S멜론(50g),차조밥(63),두부찌개,소고기토마토조림,동초무침,나박김치,S크로와상,S복숭아호두스무디,차조밥(55),실파장국,수제비샐러드,과일샐러드(요거트드레싱),비트초절이
잡곡밥(55),동태살무국,참치양파볶음,S복숭아(60g),S멜론(50g),잡곡밥(55),묵국,고구마연근맛탕,애호박새우젓볶음,열무물김치,S(우유제외)알리오올리오스파게티,S오미자아이스크림,잡곡밥(55),떡국,두부톳무침,매쉬드포테이토,석박지
잡곡밥(63),유부쑥갓맑은국,채소샐러드,S사과(50g),S멜론(50g),잡곡밥(63),매콤애호박국,조랭이떡소불고기,다시마북어볶음,배추김치,S(우유제외)토마토스파게티,S둥글레차,잡곡밥(63),쑥갓어묵탕,칠리새우,아욱무침,비트초절이
검정콩밥(55),닭살미역국,토마토범벅,S복숭아(천도)-60g,S자두(50g),검정콩밥(55),실파장국,소고기양배추조림,당근스틱,나박김치,S찐고구마,S복숭아호두스무디,검정콩밥(55),건새우감자국,소고기토마토조림,무미역생채,석박지
잡곡밥(55),차돌박이된장국,감자당근채볶음,S참외(50g),S멜론(50g),잡곡밥(55),호박감자수제비국,채소스크램블에그,매쉬드포테이토,비트초절이,S매실젤리,S둥글레차,잡곡밥(55),두부새우젓국,어묵감자조림,과일샐러드(요거트드레싱),배추김치
밤찹쌀팥밥(55),북어김치국,건파래자반,S복숭아(천도)-80g,S과일화채,밤찹쌀팥밥(55),떡국,오리훈제구이,모듬과일샐러드,나박김치,S카카오올리브케익,S보리차,밤찹쌀팥밥(55),어묵국수,오징어청경채볶음,미역줄기채소볶음,단무지
흑미밥(55),동태살국,애호박볶음,S복숭아(천도)-60g,S참외(50g),흑미밥(55),두부새우젓국,온두부찜,진미채초무침,깻잎김치,S찐고구마,S오미자아이스크림,흑미밥(55),건새우맑은국,김치전,감자당근채볶음,석박지
옥수수밥(63),실파장국,실곤약채소무침,S사과(35g),S멜론(50g),옥수수밥(63),다슬기된장국,소면채소무침,땅콩우엉무침,열무물김치,S크림떡볶이,S복숭아호두스무디,옥수수밥(63),북어김치국,메추리알샐러드,애호박건새우볶음,나박김치
차조밥(63),미니우동,해초볶음,S복숭아(황도)-80g,S참외(50g),차조밥(63),실파김국,오징어채소볶음,매쉬드포테이토,비트초절이,S건포도감자볼,S오미자아이스크림,차조밥(63),차돌얼갈이국,고구마연근맛탕,참치양파볶음,단배추물김치
찹쌀현미밥(55),어묵국수,감자당근채볶음,S복숭아(60g),S자두(50g),찹쌀현미밥(55),닭고기채소찌개,오징어간장조림,진미채초무침,나박김치,S가래떡구이,S호두우유,찹쌀현미밥(55),북어김치국,으깬두부채소전,건새우애호박볶음,석박지
잡곡밥(55),건새우시금치국,무미역생채,S멜론(50g),S사과(35g),잡곡밥(55),유부쑥갓맑은국,소고기토마토조림,김구이+양념장,총각김치,S찐고구마,S오미자아이스크림,잡곡밥(55),매콤애호박국,수제비샐러드,상추오이무침,배추김치
수수밥(63),두부새우젓국,맛살볶음,S복숭아(60g),S과일화채,수수밥(63),동태살국,청경채불고기,진미채초무침,나박김치,S카카오올리브케익,S둥글레차,수수밥(63),콩가루얼갈이배추국,조랭이떡소불고기,동초무침,비트초절이
흑미밥(55),바지락맑은국,양배추오이샐러드,S멜론(50g),S사과(35g),흑미밥(55),온청포묵국,고구마연근맛탕,실곤약채소무침,오이소박이김치,S절편,S오미자아이스크림,흑미밥(55),닭고기채소찌개,옥수수치즈전,얼갈이무침,열무김치
흑미밥(63),어묵국수,무미역생채,S복숭아(60g),S블루베리(50g),흑미밥(63),동태살무국,조랭이떡소불고기,동초무침,열무물김치,S으깬견과류고구마샐러드(요거트),S둥글레차,흑미밥(63),실파달걀국,두부톳무침,채소샐러드,나박김치
찰현미밥(63),유부쑥갓맑은국,당근스틱,S블루베리(50g),S자두(50g),찰현미밥(63),매콤애호박국,(저염)갈치조림,진미채초무침,오이소박이김치,S소보로빵,S복숭아호두스무디,찰현미밥(63),가자미미역국,으깬두부채소전,상추오이무침,비트초절이
고구마밥(55),맑은양배추국,감자당근채볶음,S복숭아(60g),S멜론(50g),고구마밥(55),어묵국수,가지구이,단호박견과류샐러드,열무물김치,S매실젤리,S둥글레차,고구마밥(55),떡만두국,조랭이떡소불고기,건새우애호박볶음,나박김치
옥수수밥(63),실파장국,단호박우유찜,S과일샐러드(요거트드레싱),S사과(35g),옥수수밥(55),동태살무국,소고기토마토조림,건새우애호박채소볶음,단무지,S고로케,S떠먹는요구르트(100ml),옥수수밥(63),버섯개장,가래떡구이,배추게맛살샐러드,동치미
쌀밥(55),유부쑥갓맑은국,상추오이무침,S블루베리고구마샐러드,S복숭아(천도)-80g,쌀밥(55),차돌박이된장국,맛살꼬지전,진미채초무침,비트초절이,S단호박꿀찜,S둥글레차,쌀밥(55),호박감자수제비국,(저염)갈치조림,맛살볶음,배추김치
차조밥(55),떡국,애호박볶음,S사과(35g),S멜론(50g),차조밥(55),동태살국,고구마연근맛탕,땅콩우엉무침,열무물김치,S(우유제외)알리오올리오스파게티,S오미자아이스크림,차조밥(55),건새우시금치국,조랭이떡소불고기,감자당근채볶음,나박김치
현미밥(55),유부김치국,감자채파프리카볶음,S복숭아(황도)-80g,S블루베리(50g),현미밥(55),두부새우젓국,온두부찜,양배추샐러드(딸기드레싱),갓김치,S쿠키,S호두우유,현미밥(55),소고기배추국,오징어치즈전,치커리무침,깻잎김치
밤밥(55),탕국,단호박꿀찜,S과일샐러드(요거트드레싱),S멜론(50g),밤밥(55),우동면국,오징어채소볶음,해초볶음,단배추물김치,S(우유제외)토마토스파게티,S코코아,밤밥(55),미니새우튀김우동,(우유제외)단호박오징어찜,(고춧가루제외)오이무침,열무물김치
