1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
B으깬견과류고구마샐러드(요거트),B바나나쉐이크,B복숭아(황도)-60g,S멜론(100g),S사과(100g),완두콩밥(55),얼갈이배추국,라조기,건새우애호박볶음,비트초절이,S고로케,S보리차,완두콩밥(55),동태살무국,소고기당면볶음,검정콩호두조림,배추김치
B냉콩국+소면,B검은깨두유(100ml),B오이당근스틱,S과일샐러드(마요네즈),S사과(35g),찰현미밥(55),애호박새우젓국찌개,삼치레몬구이,맛살미역줄기볶음,오이소박이김치,S멸치주먹밥,S보리차,찰현미밥(55),호박감자수제비국,감자부추전,김구이+양념장,단배추물김치
B으깬견과류고구마샐러드(요거트),B고구마쉐이크,S사과(35g),S복숭아(천도)-60g,S키위(50g),현미밥(55),멸치장국,참치어묵조림,맛살양상추샐러드,비트초절이,S(우유제외)토마토스파게티,S두유(100ml),현미밥(55),동태살무국,가지구이,단호박견과류샐러드,배추김치
B소고기미역죽,B두유(100ml),B참외(50g),S(우유제외)수박화채,S키위(50g),차조밥(55),유부쑥갓맑은국,오징어채소볶음,양념가지찜,오이소박이김치,S으깬견과류고구마샐러드(요거트),S미숫가루,차조밥(55),동태살국,소고기당면불고기,건새우애호박볶음,얼갈이배추김치
B치즈죽,B고구마쉐이크,B복숭아(60g),S사과(35g),S멜론(50g),수수밥(55),동태살무국,고구마연근맛탕,맛살볶음,배추김치,S약과,S오미자아이스크림,수수밥(55),감자된장국,온두부찜,건새우애호박볶음,비트초절이
B소고기스프,B바나나쉐이크,B멜론(50g),S참외(50g),S블루베리고구마샐러드,밤콩밥(55),해물탕,오징어채소볶음,참치양파볶음,열무물김치,S(우유제외)토마토스파게티,S보리차,밤콩밥(55),콩가루얼갈이배추국,매콤오징어볶음,건취나물간장볶음,나박김치
B단호박떡케익,B(우유제외)두유미숫가루,B참외샐러드,S멜론(50g),S복숭아(천도)-80g,밤밥(55),가자미미역국,시금치두부전,얼갈이된장나물,비트초절이,S크림떡볶이,S둥글레차,밤밥(55),온청포묵국,감자부추전,건새우애호박볶음,오이소박이김치
B(우유제외)참깨두유스프,B고구마쉐이크,B블루베리고구마샐러드,S복숭아(천도)-60g,S사과(35g),쌀밥(40),해물탕,삼치무조림,애호박볶음,열무물김치,S단호박꿀찜,S보리차,쌀밥(40),떡국,고구마연근맛탕,해초볶음,나박김치
B개피떡(40g),B(우유제외)수제바나나두유,B멜론(50g),S복숭아(60g),S블루베리고구마샐러드,감자밥(63),두부새우젓국,햄구이,참치양파볶음,비트초절이,S으깬견과류고구마샐러드(요거트),S오미자아이스크림,감자밥(63),동태살국,매콤오징어볶음,얼갈이나물,석박지
B브로콜리죽,B(우유제외)바나나쉐이크,B참외(50g),S멜론(50g),S사과(35g),보리밥(55),감자미역국,옥수수채소전,애호박볶음,나박김치,S치즈케이크,S둥글레차,보리밥(55),차돌얼갈이국,등심탕수육+소스,애호박건새우볶음,단배추물김치
B핫케이크,B복숭아호두스무디,B오이당근스틱,S과일샐러드(마요네즈),S사과(35g),흑미밥(55),두부새우젓국,오징어숙회,애호박볶음,콜라비나박김치,S찐밤,S보리차,흑미밥(55),유부실파국,참치어묵조림,감자당근채볶음,오이소박이김치
B브로콜리크림스프,B고구마쉐이크,B복숭아(60g),S멜론(50g),S사과(35g),율무밥(63),미니우동,새우춘권튀김,과일샐러드(요거트드레싱),열무물김치,S단팥빵,S매실쥬스,율무밥(63),동태맑은국,라조기,진미채초무침,총각김치
B당근스프,B검은깨두유(200ml),B바나나(100g),S복숭아(황도)-60g,S사과(100g),완두콩밥(63),두부전골,피망어묵볶음,땅콩우엉무침,비트초절이,S케이크,S보리차,완두콩밥(55),달래맑은국,삼치무조림,(저염)감자조림,배추김치
B냉콩국+소면,B검은깨두유(100ml),B배(50g),S복숭아(천도)-60g,S블루베리(50g),찹쌀현미밥(63),홍합탕,오징어숙회,찐당근스틱,오이소박이김치,S맘모스빵,S매실쥬스,찹쌀현미밥(63),닭곰탕,채소옥수수튀김,과일땅콩샐러드,파김치
B으깬견과류고구마샐러드(요거트),B검은깨두유(100ml),B참외(50g),S복숭아(황도)-60g,S블루베리고구마샐러드,밤콩밥(55),호박감자수제비국,참치어묵조림,얼갈이나물,배추김치,S크림떡볶이,S보리차,밤콩밥(55),소고기양파국,떡갈비간장조림,오이미역초무침,얼갈이배추김치
