1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
율무밥(55),유부쑥갓맑은국,양상추요거트샐러드,S사과(35g),S사과(35g),율무밥(55),새우젓국찌개,소고기토마토볶음,얼갈이무침,단무지무침,S카카오올리브케익,S코코아,율무밥(55),미역국,시금치두부전,고구마순된장무침,콜라비나박김치
감자밥(63),호박감자수제비국,과일샐러드(요거트드레싱),S복숭아(천도)-60g,S호두,감자밥(63),오징어찌개,두부톳무침,파래무침,오이피클,S매실젤리,S복숭아호두스무디,감자밥(55),닭곰탕,매콤오징어볶음,쑥갓나물,오이피클
찹쌀팥밥(55),호박감자수제비국,진미채초무침,S블루베리(50g),S사과(35g),찹쌀팥밥(55),매콤애호박국,소고기양배추조림,미역줄기채소볶음,비트초절이,S치즈케이크,S복숭아호두스무디,찹쌀팥밥(55),동태살무국,소고기감자조림,건취나물간장볶음,배추김치
찹쌀보리밥(55),애호박두부젓국찌개,당근스틱,S복숭아(60g),S복숭아(황도)-80g,찹쌀보리밥(55),두부새우젓국,삼겹살구이,건새우애호박볶음,석박지,S밤설기(40g),S보리차,찹쌀보리밥(55),북어김치국,감자그라탕,상추오이무침,나박김치
밤밥(55),닭고기채소찌개,콩나물김무침,S멜론(50g),S사과(35g),밤밥(55),닭살당면국,오징어채소볶음,실곤약간장채소무침,깻잎김치,S냉콩국+소면,S둥글레차,밤밥(63),온청포묵국,쫄면채소무침,건취나물간장볶음,비트초절이
찹쌀보리밥(55),쑥갓어묵탕,애호박볶음,S참외(50g),S청포도(100g),찹쌀보리밥(55),동태살국,소고기채소조림,진미채초무침,열무물김치,S단호박꿀찜,S(우유제외)수제블루베리우유,찹쌀보리밥(55),해물탕,오리훈제구이,감자당근채볶음,열무물김치
차조밥(63),멸치장국,가지나물무침,S복숭아(천도)-60g,S키위(50g),차조밥(63),버섯개장,수제비샐러드,단호박우유찜,석박지,S떡볶이,S복숭아호두스무디,차조밥(63),유부대파국,새우버터구이,해초볶음,깻잎김치
기장밥(55),다슬기된장국,감자그라탕,S복숭아(60g),S사과(35g),기장밥(55),매콤애호박국,소고기깻잎볶음,실곤약간장채소무침,열무물김치,S짜장떡볶이,S쌀음료,기장밥(55),우동국물,소고기채소조림,건새우애호박볶음,나박김치
검정콩밥(63),동태맑은국,무미역무침,S참외(50g),S사과(100g),검정콩밥(63),건새우된장국,오징어치즈전,미나리나물,비트초절이,S슈크림빵,S보리차,검정콩밥(63),차돌얼갈이국,오징어간장조림,애호박볶음,단배추물김치
흑미밥(55),실파장국,건새우애호박볶음,S사과(35g),S멜론(50g),흑미밥(55),유부쑥갓맑은국,채소전,양상추요거트샐러드,배추김치,S새우크림소스볶음,S고구마쉐이크,흑미밥(55),쑥갓어묵탕,차돌양배추볶음,땅콩우엉무침,배추김치
완두콩밥(55),대구지리,진미채초무침,S복숭아(천도)-60g,S사과(100g),완두콩밥(55),아욱우렁된장국,어묵감자조림,감자당근채볶음,석박지,S도너츠,S둥글레차,완두콩밥(55),맑은애호박국,소고기토마토조림,애호박볶음,깍두기
찹쌀현미밥(63),오징어맑은국,상추오이무침,S사과(35g),S복숭아(황도)-60g,찹쌀현미밥(63),얼갈이맑은국,매콤오삼불고기,맛살볶음,열무물김치,S단팥빵,S토마토쉐이크,찹쌀현미밥(63),다슬기아욱국,차돌양배추볶음,건새우애호박볶음,열무물김치
밤찹쌀팥밥(55),팽이장국,양상추요거트샐러드,S복숭아(천도)-60g,S수박화채,밤찹쌀팥밥(63),대구탕,햄구이,애호박건새우볶음,비트초절이,S약과,S보리차,밤찹쌀팥밥(55),애호박새우젓국,피망어묵볶음,매쉬드포테이토,동치미
옥수수밥(55),닭고기채소찌개,요거트과일샐러드,S복숭아(60g),S복숭아(황도)-80g,옥수수밥(55),두부새우젓국,참치어묵조림,애호박볶음,석박지,S새우크림소스볶음,S쌀음료,옥수수밥(55),어묵국수,새우살채소볶음,과일샐러드(요거트드레싱),석박지
밤밥(55),미니우동,감자그라탕,S사과(35g),S복숭아(천도)-60g,밤밥(63),동태살국,새우살조림,가지무침,단배추물김치,S(우유제외)토마토스파게티,S보리차,밤밥(63),(저염)닭곰탕,으깬두부채소전,애호박건새우볶음,단배추물김치
수수밥(55),무채국,동초무침,S멜론(100g),S(우유제외)과일화채,수수밥(55),근대국,(저염)갈치조림,청경채초무침,나박김치,S쑥떡(40g),S검은깨두유(150ml),수수밥(55),새우달걀국,소고기감자조림,미나리나물,나박김치
쌀밥(40),온청포묵국,채소샐러드,S사과(35g),S복숭아(황도)-80g,쌀밥(40),버섯소고기국,맛살꼬지전,진미채무말랭이무침,단배추물김치,S약과,S쌀음료,쌀밥(40),콩가루열무된장국,오리훈제구이,당근스틱,단배추물김치
완두콩밥(55),유부쑥갓맑은국,가지양념찜,S복숭아(60g),S복숭아(천도)-60g,완두콩밥(55),매콤애호박국,새우살채소볶음,동초무침,오이소박이김치,S크로와상,S둥글레차,완두콩밥(63),동태살무국,온두부찜,감자당근채볶음,배추김치
완두콩밥(63),닭곰탕,깻잎순멸치볶음,S사과(50g),S멜론(50g),완두콩밥(63),대파감자국,매콤낙지채소볶음,과일샐러드(요거트드레싱),백김치,S고로케,S보리차,완두콩밥(55),팽이장국,소고기떡조림,쑥갓무침,비트초절이
완두콩밥(63),동태살무국,건취나물간장볶음,S사과(35g),S복숭아(천도)-60g,완두콩밥(55),안매운닭개장,으깬두부채소전,진미채초무침,열무물김치,S쿠키,S고구마쉐이크,완두콩밥(55),유부쑥갓맑은국,두부톳무침,표고버섯간장볶음,배추김치
현미밥(55),닭고기채소찌개,동초무침,S멜론(50g),S복숭아(60g),현미밥(55),동태맑은국,매콤주꾸미볶음,실곤약간장채소무침,비트초절이,S슈크림빵,S검은깨두유(150ml),현미밥(55),차돌얼갈이국,소고기떡조림,가지나물무침,단배추물김치
찹쌀팥밥(55),동태살무국,무미역생채,S복숭아(황도)-80g,S참외(50g),찹쌀팥밥(55),북어달걀국,등심탕수육+소스,진미채초무침,석박지,S크림빵,S고구마쉐이크,찹쌀팥밥(55),두부새우젓국,참치어묵조림,쑥갓나물무침,석박지
찹쌀밥(40),김치유부맑은국,부추사과무침,S사과(50g),S복숭아(천도)-60g,찹쌀밥(40),유부맑은국,옥수수채소튀김,실곤약채소무침,비트초절이,S멸치주먹밥,S보리차,찹쌀밥(40),순두부찌개,소고기떡조림,쑥갓나물무침,단배추물김치
감자밥(63),아욱우렁된장국,미역줄기채소볶음,S복숭아(60g),S복숭아(황도)-80g,감자밥(63),떡국,소고기토마토조림,진미채초무침,나박김치,S(우유제외)토마토스파게티,S매실쥬스,감자밥(63),실파장국,청경채불고기,채소샐러드,석박지
