1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
B소고기미역죽,B고구마쉐이크,B복숭아(60g),S멜론(50g),S자두(50g),수수밥(55),동태살무국,온두부찜,사과미나리무침,비트초절이,S단호박꿀찜,S보리차,수수밥(55),유부쑥갓맑은국,칠리새우,건취나물간장볶음,배추김치
B치즈게살죽,B(우유제외)수제바나나두유,B멜론(50g),S복숭아(60g),S자두(50g),기장밥(55),콩가루얼갈이배추국,주꾸미채소간장볶음,파래자반,열무물김치,S카카오올리브케익,S둥글레차,기장밥(55),단호박김치국,어묵감자조림,참나물간장무침,나박김치
B으깬견과류고구마샐러드(요거트),B(우유제외)바나나쉐이크,B복숭아(천도)-60g,S사과(35g),S멜론(50g),밤밥(63),쑥갓어묵탕,소고기무볶음,건새우애호박볶음,오이소박이김치,S샌드위치,S보리차,밤밥(63),근대국,제육볶음,채소샐러드,배추김치
B크래미게살죽,B(우유제외)호두두유,B사과(100g),S참외(50g),S(우유제외)과일화채,쌀밥(40),다진소고기콩나물국,돼지고기양배추볶음,오이토마토샐러드(발사믹드레싱),파김치,S증편(40g),S떠먹는요구르트(100ml),쌀밥(40),버섯부추국,두부톳무침,쑥갓나물,열무물김치
B닭가슴살채소죽,B우유(150ml),B사과(75g),S땅콩,S바나나(100g),잡곡밥(55),참치김치찌개,매콤낙지채소볶음,실곤약간장채소무침,비트초절이,S가래떡구이,S둥글레차,잡곡밥(55),두부탕국,북어볶음,동초무침,석박지
B참깨우유스프,B(우유제외)수제바나나두유,B멜론(50g),S자두(50g),S사과(35g),보리밥(63),해물탕,(저염)닭가슴살단호박조림,무미역무침,열무물김치,S절편(40g),S보리차,보리밥(55),실파장국,오징어새우볶음,애호박볶음,배추김치
B단호박떡케익,B(우유제외)수제딸기두유,B복숭아(60g),S키위(50g),S자두(50g),찰현미밥(63),팽이장국,돼지고기굴소스볶음,감자당근채볶음,나박김치,S치즈스틱,S둥글레차,찰현미밥(63),매콤애호박국,오리훈제구이,땅콩우엉무침,석박지
B치즈게살죽,B두유(100ml),B복숭아(백도)-80g,S토마토(200g),S자두(50g),옥수수밥(55),애호박두부젓국,닭고기우유조림,무미역생채,비트초절이,S(우유제외)옥수수버터구이,S보리차,옥수수밥(55),동태살무국,소면채소무침,진미채초무침,배추김치
B소고기감자죽,B떠먹는요구르트(100ml),B단감(50g),S참외(50g),S복숭아(천도)-80g,찹쌀팥밥(55),부추미소장국,(우유제외)닭가슴살버터구이,채소샐러드,동치미,S단호박샐러드,S코코아,찹쌀팥밥(55),가지냉국,매콤주꾸미볶음,매쉬드포테이토,나박김치
B크로와상(30g),B고구마쉐이크,B사과(35g),S복숭아(천도)-60g,S호두,검정콩밥(55),김치양파국,라조기,황태채조림,깍두기,S단호박꿀찜,S검은깨두유(150ml),검정콩밥(55),시금치맑은국,매콤주꾸미볶음,양상추요거트샐러드,석박지
B으깬견과류고구마샐러드(요거트),B(우유제외)수제바나나두유,B블루베리고구마샐러드,S복숭아(60g),S자두(50g),찹쌀현미밥(55),동태맑은국,양배추맛살나물,채소샐러드,단배추물김치,S슈크림빵,S보리차,찹쌀현미밥(55),차돌얼갈이국,소고기브로콜리조림,진미채초무침,열무물김치
B새우크림소스볶음,B요구르트,B사과(35g),S토마토(200g),S블루베리고구마샐러드,율무밥(63),다진소고기콩나물국,오리훈제구이,양배추호두무침,깍두기,S(우유제외)수제멸치과자,S망고주스,율무밥(63),단호박새우젓국,달걀찜(30g),시래기된장무침,동치미
B고구마경단,B두유(150ml),B멜론(50g),S자두(50g),S사과(35g),현미밥(63),콩가루얼갈이배추국,소고기양배추조림,매쉬드포테이토,열무물김치,S치즈머핀,S토마토주스,현미밥(63),두부새우젓국,(저염)갈치조림,동초무침,나박김치
B단호박튀김,B호두우유,B복숭아(황도)-80g,S참외(100g),S키위(100g),찹쌀보리밥(55),김치유부맑은국,대구구이,김무침,비트초절이,S닭가슴살채소죽,S매실쥬스,찹쌀보리밥(55),건새우감자국,파돼지불고기,청경채느타리무침,동치미
B(우유제외)단호박크림스프,B고구마쉐이크,B블루베리고구마샐러드,S청포도(100g),S멜론(50g),찹쌀밥(55),두부새우젓국,매콤낙지채소볶음,애호박볶음,열무물김치,S치즈스틱,S보리차,찹쌀밥(55),동태살국,(저염)갈치조림,곤드레나물볶음,나박김치
B(우유제외)당근크림스프,B검은콩두유(100ml),B사과(35g),S(우유제외)과일화채,S땅콩,밤밥(55),버섯무국,가자미조림,도라지볶음,오이소박이김치,S닭가슴살채소죽,S고구마쉐이크,밤밥(55),부추된장국,주꾸미간장조림,멸치볶음,비트초절이
B소고기미역죽,B떠먹는요구르트(100ml),B복숭아(60g),S사과(100g),S키위(100g),잡곡밥(55),실파장국,파돼지불고기,건새우애호박볶음,단무지,S으깬견과류고구마샐러드(요거트),S보리차,잡곡밥(55),동태살무국,참치어묵조림,쑥갓나물,나박김치
B으깬견과류고구마샐러드(요거트),B(우유제외)수제바나나두유,B멜론(100g),S복숭아(황도)-80g,S당근스틱,찰현미밥(63),얼갈이배추국,소고기양배추조림,맛살미역줄기볶음,비트초절이,S크림떡볶이,S둥글레차,찰현미밥(63),올갱이된장국,감자부추전,곤드레나물볶음,배추김치
B닭백숙,B요구르트,B복숭아(60g),S토마토(200g),S블루베리고구마샐러드,팥밥(55),동태맑은국,양배추맛살나물,진미채초무침,단배추물김치,S단호박샐러드,S보리차,팥밥(63),차돌얼갈이국,새우살볶음,채소샐러드,열무물김치
