,name,weight,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid,snack,snack1,snack2,snack3,snack_breakfast,breakfast1,breakfast2,breakfast3,rice,soup,side_dish1,side_dish2,kimchi,special,empty,rice_type1,rice_type2,rice_type3,rice_type4,rice_type5,rice_type6,rice_type7,rice_type8,rice_type9,rice_type10,rice_type11,rice_type12,rice_type13,rice_type14,rice_type15,rice_type16,rice_type17,rice_type18,rice_type19,rice_type20,rice_type21,rice_type22,rice_type23,rice_type24,simple_rice
0,S(우유제외)수박화채,224,77,1.106,0.07,19.3452,0.28,10.08,0.2604,0.84,99.51666666,0.0336,0.042,0,19.95,4.102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,S감말랭이,42,107.1,0.8148,0.0672,28.8162,4.704,8.82,0.2688,1.26,19.215,0.0042,0.09408,2.1462,0,12.0414,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,S곶감,56,119.84,1.0808,0.0448,32.172,4.76,7.84,0.3472,0.56,13.34666666,0.00504,0.13608,1.4952,0,7.0616,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,S과일화채,252,141.47,5.138,4.7103,20.846,1.106,164.71,0.2779,50.4,127.6333333,0.05649,0.26754,2.6495,121.3247,14.9695,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,S(우유제외)과일화채,252,106.47,0.826,0.0623,27.076,1.106,9.31,0.2219,1.4,50.63333333,0.02709,0.04074,1.5435,18.9427,4.3295,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,S당근스틱,42,13.02,0.4284,0.0546,2.9526,1.302,10.08,0.1176,9.66,193.06,0.01554,0.02604,1.2684,34.8684,3.318,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,S멜론퓨레,112,44.8,1.68,0.0448,10.7968,2.24,7.84,0.3808,14.56,2.706666667,0.03584,0.03696,2.2624,5.9024,11.9504,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,S수박화채,280,134.4,5.418,4.718,18.704,0.28,166.6,0.322,50.4,176.5166667,0.063,0.2688,1.106,122.696,14.742,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,S감자건포도샐러드,112,136.22,2.2253,5.3718,20.7508,2.961,15.26,0.7077,35.21,1.044166666,0.06573,0.10752,10.3159,2759.0983,409.934,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,S감자샐러드,107.1,127.631,2.53274,6.38386,15.65039,2.9505,17.948,0.70686,33.446,1.050583333,0.061019,0.062286,10.2998,3025.89987,409.48999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
